Symbol	mouse_inviro_colon_Untr_24hr_1	mouse_inviro_colon_Untr_24hr_2	mouse_inviro_colon_Untr_24hr_3	mouse_inviro_colon_Untr_72hr_1	mouse_inviro_colon_Untr_72hr_2	mouse_inviro_colon_Untr_72hr_3	mouse_inviro_colon_X1000_24hr_1	mouse_inviro_colon_X1000_24hr_2	mouse_inviro_colon_X1000_24hr_3	mouse_inviro_colon_X1000_72hr_1	mouse_inviro_colon_X1000_72hr_2	mouse_inviro_colon_X1000_72hr_3
CCDC12	681.284056579826	462.56486747948	573.363808756817	583.639036675887	940.663387685552	671.229983585332	335.496060627116	249.671121634366	451.45042206091	339.514063727831	471.784916060991	412.808141016936
CCDC120	646.933599945549	443.976480223736	351.241766309294	287.121171888853	286.049685144144	281.660538071229	739.153590035994	623.356517501591	585.563308949297	1366.99083553574	1843.90837711487	937.695911718577
CCDC122	0	23.5929530553676	26.1851188251145	29.2341556832287	8.25143322531186	12.8027517305104	44.2606940141314	60.7752072399443	39.6671918965653	43.556080544031	71.4256048219827	49.9364686714035
CCDC124	1501.40120872319	1098.14472403166	1414.89935168808	1145.35245658935	1932.21061359386	1355.26271890118	1081.73136170537	1101.34530957791	1253.29437254148	1497.65907716783	1454.82679295302	1350.50405273551
CCDC125	100.188831849974	33.6020846546145	36.11740527602	62.6446193212043	45.3828827392152	75.9020281165975	34.5233413310225	32.8514633729429	13.2223972988551	13.4018709366249	7.51848471810344	28.8521818990331
CCDC126	0.715634513214103	80.0730527939749	47.8555619907265	72.0413122193849	28.8800162885915	49.3820423891116	177.042776056526	197.930066821981	131.279516038633	159.705628661447	176.684390875431	218.610762850366
CCDC127	614.0144123377	529.054098817334	521.896506238489	519.950340365996	365.813539655492	498.392835223442	634.698352162644	853.316761112192	622.397129996108	653.341208160465	456.747946624784	694.671764184413
CCDC130	19.3221318567808	178.019554872319	227.539653238926	183.757550008866	336.933523366901	217.646779418677	85.8657463874149	75.5583657577686	221.947383230782	83.7616933539057	93.9810589762931	73.2401540513918
CCDC134	102.335735389617	158.001291673826	152.596037291184	180.625319042806	121.021020637907	149.975091700265	177.927989936808	214.355798508452	176.613449634707	184.275725378593	330.813327596552	143.151210191357
CCDC137	342.788931829555	363.903427429761	453.273436214051	444.776797180551	375.44021175169	498.392835223442	510.768408923076	510.840255449262	364.560382668434	263.57012842029	398.479690059483	341.787385573162
CCDC138	72.9947203478385	23.5929530553676	29.7968593527165	27.1460017058552	50.8838382227565	25.6055034610208	15.9338498450873	24.6385975297072	0	7.81775804636453	13.157348256681	34.400678418078
CCDC14	129.529846891753	203.042383870436	182.392896643901	259.975170182998	226.914413696076	259.712963676069	87.6361741479802	68.9880730831801	98.2235227914951	131.785064210145	156.008557900646	167.564594875154
CCDC141	430.096342441676	61.4846655382308	44.2438214631245	27.1460017058552	33.0057329012474	41.1517019909264	173.501920535395	86.2350913539751	235.169780529637	324.995370213154	343.970675853233	261.889035698916
CCDC142	0	21.4481391412433	18.05870263801	5.22038494343369	9.62667209619717	14.6317162634405	2.65564164084788	6.57029267458858	8.50011254926399	0	7.51848471810344	0
CCDC149	55.1038575174859	17.8734492843694	32.505664748418	40.7190025587828	60.5105103189536	34.7503261256712	37.1789829718704	23.8173109453836	0	33.5046773415623	48.8701506676724	75.4595526590097
CCDC15	38.6442637135616	32.8871466832397	12.641091846607	50.1156954569634	16.5028664506237	39.3227374579963	9.73735268310891	14.7831585178243	0	0	20.6758329747845	12.2066923418986
CCDC157	60.8289336231988	82.932804679474	43.340886331224	83.5261590949391	94.8914820910864	95.1061557123632	36.2937690915877	13.1405853491772	62.3341586946026	18.9859838268853	28.1943176928879	33.290979114269
CCDC159	0	76.498362937101	59.5937187054329	55.3360804003971	112.769587412595	65.8427231854822	10.6225665633915	25.4598841140307	13.2223972988551	13.4018709366249	13.157348256681	7.76789512666277
CCDC166	191.79004954138	218.056081269307	189.616377699105	256.842939216938	222.78869708342	243.252282879698	255.82681140168	263.632993567867	204.002701182336	253.518725217821	374.044614725646	179.771287217053
CCDC167	145.989440695677	204.472259813186	130.022658993672	311.134942628648	281.923968531488	281.660538071229	182.354059338221	151.938018099861	124.668317389205	93.8130965563744	122.175376669181	82.1177484818635
CCDC17	98.0419283103321	144.417470217705	131.828529257473	97.0991599478667	108.643870799939	99.6785670446883	78.7840353451539	19.7108780237657	65.1675295443573	41.3224353879268	107.138407232974	74.3498533552008
CCDC171	0	25.0228289981172	18.05870263801	36.5426946040358	24.7542996759356	33.8358438592061	20.3599192465004	19.7108780237657	0.944456949918222	31.2710321854581	43.2312871290948	25.5230839876062
CCDC174	120.942232733183	117.249827305463	172.460610192995	111.716237789481	226.914413696076	140.830269035615	181.468845457939	284.165158175956	261.614575127347	257.98601553003	233.073026261207	280.753923863669
CCDC18	0	7.14937971374776	3.611740527602	11.4848468755541	12.3771498379678	5.48689359879018	0	0	0	0	0	0
CCDC181	50.8100504382013	40.7514643683622	87.5847077943484	55.3360804003971	82.5143322531186	59.441347320227	18.5894914859352	59.1326340712972	0	49.1401934342914	60.1478777448276	93.2147415199532
CCDC186	322.035530946346	418.238713254244	465.914528060658	278.768555979359	203.535352891026	285.318467137089	765.710006444473	697.272310090713	662.064321892673	943.715078454004	774.403925964655	1137.44178640419
CCDC187	55.1038575174859	6.43444174237299	0	10.4407698868674	2.75047774177062	16.4606807963705	0	0	0	0	0	0
CCDC189	26.4784769889218	92.9419362787209	93.0023185857514	119.024776710288	151.276275797384	101.507531577618	23.900774767631	30.3876036199722	0	39.0887902318227	35.7128024109914	8.87759443047173
CCDC190	0	28.597518854991	39.729145803622	51.1597724456502	68.7619435442655	44.8096310567865	5.31128328169577	0	15.1113111986915	22.3364515610415	35.7128024109914	28.8521818990331
CCDC191	30.0566495549923	18.5883872557442	48.758497122627	59.5123883551441	67.3867046733802	59.441347320227	7.96692492254365	0	32.1115362972195	14.518693514677	22.5554541543103	29.9618812028421
CCDC22	306.291571655636	254.51791780942	338.600674462687	357.074330130865	722.000407214788	372.194282451267	58.4241160986534	80.4860852637101	120.890489589532	30.1542096074061	133.453103746336	55.4849651904483
CCDC25	339.926393776699	262.382235494543	333.183063671284	325.752020470262	400.194511427625	244.166765146163	600.175010831622	815.537578233307	903.845301071738	546.126240667465	486.821885497198	701.329960007267
CCDC28A	174.614821224241	166.580547330323	202.257469545712	112.760314778168	181.531530956861	153.633020766125	109.766521155046	83.7712316010044	136.946257738142	110.565435227156	77.0644683605603	129.834818545649
CCDC28B	48.663146898559	50.7605959676091	51.4673025183285	38.6308485814093	101.767676445513	96.9351202452932	8.85213880282628	6.57029267458858	0	0	63.9071201038793	3.3290979114269
CCDC3	0	15.0136973988703	18.05870263801	33.4104636379756	52.2590770936418	19.2041275957656	0	0	32.1115362972195	0	1.87962117952586	0
CCDC32	157.439592907103	309.568141605278	316.027296165175	210.903551714721	275.047774177062	193.870240490586	232.811250514331	270.203286242455	228.55858188021	234.532741390936	219.915678004526	356.213476522678
CCDC34	1100.64588132329	737.815986458769	923.702639934211	967.859368512607	3248.3142130311	919.96916006382	329.299563465138	295.663170356486	381.560607766962	275.855176778863	349.60953939181	327.361294623645
