Symbol	human_si_Untr._24h_1	human_si_Untr._24h_2	human_si_Untr._24h_3	human_si_Untr._72h_1	human_si_Untr._72h_2	human_si_Untr._72h_3	human_si_X1000uM_24h_1	human_si_X1000uM_24h_2	human_si_X1000uM_24h_3	human_si_X1000uM_72h_1	human_si_X1000uM_72h_2	human_si_X1000uM_72h_3
PDIA4	11.90219543	12.09327876	12.01303318	12.26009521	12.13035755	12.30129018	11.70557439	11.93741221	11.71924674	11.97905554	12.02713484	11.69111699
PDIA5	8.573835355	8.556410246	8.376545912	9.196159747	9.167506333	9.27110211	8.037690155	8.20471378	8.05484736	9.08477339	9.329813309	8.791261712
PDIA6	9.657468039	9.451238425	9.377501561	9.773467845	9.004488409	8.875636263	9.26976547	9.220625357	9.005573848	9.392582503	9.646847459	9.383016034
PDIK1L	6.30205117	6.160027668	6.159210402	6.057759836	6.158620971	5.742132367	5.601251733	5.713448913	6.290364201	6.037910368	5.788666863	5.68052992
PDK1	10.1032291	9.867280726	9.457055591	9.926454877	9.455993005	9.633504793	9.495424145	9.458126307	9.680321998	9.092297077	8.882056632	9.327215086
PDK2	7.444580672	7.984086453	7.748363065	8.810246239	9.298646838	9.426540806	7.150226717	7.419160133	7.234064777	7.742798247	7.487008071	7.661425109
PDK3	8.31653696	8.435082022	7.991256595	8.500757372	7.942480694	7.969774801	7.706816334	7.729623653	7.660080214	7.673564205	7.386005997	7.475352957
PDK4	5.651985478	5.502317199	5.726083342	6.245524797	6.20762171	6.521096917	5.685318839	5.638749939	5.848903188	7.546324639	8.067581595	7.494177663
PDLIM1	11.23956466	11.38962943	11.16433794	11.86130473	11.99106689	11.99729374	11.5094369	11.7106352	11.68311189	13.18479913	13.32553972	12.60104598
PDLIM2	8.472461385	8.725270496	8.875008091	8.593420943	9.065927482	8.964777842	7.989847607	8.225540745	8.049278789	7.663389922	7.079437096	7.644729253
PDLIM4	9.832093556	9.924259568	9.842112365	10.38316402	10.86133057	10.90305531	8.886286838	9.479855662	9.432958286	9.271947209	8.787656268	9.285229018
PDLIM5	10.49161435	10.39904127	10.11240356	10.16368131	10.18246605	10.26170577	9.782068288	9.701306389	9.969588389	9.848214747	9.844696627	9.80854769
PDLIM7	8.924764915	9.357154113	9.583222635	9.309520357	9.986969323	9.975153951	8.838232537	9.16534966	8.898730372	8.983203804	8.9749212	8.795011674
PDP1	7.69249201	7.515167585	7.171017293	7.437357598	7.312842011	7.334898373	7.516168735	7.284816081	7.529303157	7.394041587	7.332617361	7.293403303
PDP2	8.760002389	8.722473098	8.501708124	8.414997134	8.116100658	8.223115424	8.579186749	8.32051823	8.467034663	7.854115009	7.840464626	7.765376118
PDPK1	10.08301957	10.14561403	10.00578859	9.817433794	9.983793484	10.11196614	10.43063633	10.16259855	10.41988162	10.33670694	10.29861936	10.08255036
PDPR	9.426975601	9.082211059	9.38203848	9.288032672	9.467413103	9.508788167	9.493876193	9.677063273	9.531509458	10.21121149	10.3189699	10.38770274
PDRG1	6.852541833	6.663904504	6.622531141	6.601663083	6.776130802	6.640247607	7.182081318	7.06693536	6.934358153	6.740805065	7.262854862	7.071208448
PDS5A	9.978641718	9.575578994	9.560726467	9.466522177	9.331522292	9.345954324	9.333483386	9.130035326	9.625606009	9.30791998	9.268292784	9.298481735
PDS5B	7.715037359	7.311089632	7.339276877	6.969958971	6.836069441	6.830654634	7.117614759	7.07869221	7.162444475	6.799499286	6.88644555	6.895239269
PDSS1	6.842053719	7.311089632	7.370606701	6.66545001	6.865057454	6.830654634	8.029110462	7.772936049	8.299370874	7.673564205	7.499134582	7.549178039
PDSS2	7.917828567	7.749750963	7.804035418	8.37919963	8.13925995	8.109948468	8.16836325	8.167518117	8.05484736	7.854115009	7.923260967	8.112333039
PDX1	7.073638825	7.57915096	7.500652	7.514508421	7.839924832	7.987001693	7.921895971	8.172891579	7.79982958	8.301838359	8.64410544	8.205773927
PDXDC1	10.5477892	10.24229244	10.13853916	10.59221526	10.31471057	10.38611487	10.35341279	10.39977451	10.24224464	10.68857869	10.76696945	10.49854311
PDXDC2P-NPIPB14P	9.413400148	8.968872495	9.048810397	9.376653653	9.053847959	9.096814103	8.821026224	8.976349931	8.575250714	8.81141451	8.768007686	9.200220031
PDXK	11.74054082	11.79310703	11.86495528	11.45191038	11.78128017	11.71205747	11.61457723	11.91607399	11.75024537	11.15370326	11.06978805	11.3672952
PDXP	7.753644598	8.568931552	8.10607526	9.2165273	9.296086574	8.956108516	8.921300918	9.258846778	9.134084446	9.874604029	9.904289187	9.746117059
PDZD11	8.405251363	8.556410246	8.394681858	8.971851809	8.713215164	8.469025656	8.401797796	8.423139669	8.467034663	8.573793357	8.454103693	8.360951978
PDZD2	5.786858642	5.600442208	5.575664236	5.409610578	5.622910931	5.523390033	7.372930408	7.353611969	6.971109626	6.799499286	6.704873277	6.851148918
