Symbol	human_colon_Untr._24h_1	human_colon_Untr._24h_2	human_colon_Untr._24h_3	human_colon_Untr._72h_1	human_colon_Untr._72h_2	human_colon_Untr._72h_3	human_colon_X1000uM_24h_1	human_colon_X1000uM_24h_2	human_colon_X1000uM_24h_3	human_colon_X1000uM_72h_1	human_colon_X1000uM_72h_2	human_colon_X1000uM_72h_3
INPP5A	6.939082126	7.011991583	6.957421268	6.853876069	6.851278932	6.566977318	5.506791116	5.279841659	5.183881295	5.111246691	4.720705535	5.065851511
INPP5B	7.497510279	7.578204794	7.516747246	7.812246983	7.792943272	7.87819098	7.070322041	6.574741584	7.293916422	7.611235062	7.62081537	7.727441786
INPP5D	7.887894119	8.058412539	7.766977677	8.093475746	7.989876375	7.79247764	8.531395307	8.291293538	8.472738013	8.664080255	8.258776543	8.396972771
INPP5E	7.150872236	6.776688885	7.094704136	7.04923157	7.038279357	6.994282152	7.035669582	6.644702637	6.936241439	7.006673111	6.946356293	7.017164592
INPP5F	6.829271531	6.899332149	6.676015386	7.028832009	6.99648901	7.141700878	6.615288637	6.835350261	6.807156306	7.520280187	7.139071355	7.084253106
INPP5J	6.328508937	6.304206713	6.050521087	6.119237981	6.035818983	6.026860041	5.467486163	5.730677538	5.927813419	5.214036022	6.024677178	5.997637077
INPP5K	8.364880999	8.487092796	8.470158091	8.405836379	8.594115663	8.21369442	9.125393765	8.997467303	9.110768087	9.659821316	9.608400319	9.734191222
INPPL1	8.809889287	8.765063148	8.946333219	8.970260287	9.061152004	8.865833805	7.992214546	7.894676913	8.17382134	7.809650224	7.861363544	7.880499123
INSIG1	11.92487712	12.23986398	12.27424686	11.53164873	11.42721682	11.71160211	10.53246687	10.96756814	11.44927699	9.679074205	10.0881412	9.661604418
INSIG2	6.119540206	6.108011138	6.207623498	6.184818379	6.273217287	6.312859472	5.867483257	6.281662093	5.430617113	5.055015794	5.763281513	5.569998421
INSR	8.494125946	8.803168355	8.979553475	8.938317105	8.8261044	8.873411726	8.78541019	8.624237411	8.687195293	9.039701567	8.984093332	9.259851857
INTS1	9.556242096	9.45681732	9.500793927	9.526685744	9.299523308	9.247369789	8.421026572	8.070020823	8.145853874	6.541837664	7.04144978	7.024780171
INTS10	8.0651408	7.975652333	7.74287245	7.940117666	7.941771505	7.966176979	8.252682588	8.584442131	8.28053299	8.99007889	8.965138048	9.027918196
INTS11	8.805156569	8.621194529	8.879701465	8.887174133	8.99483921	8.807690279	8.33932228	7.940570273	8.250845837	7.589036749	7.519792305	7.502865537
INTS12	7.869807842	7.602132112	7.678219966	7.714545018	7.67998132	7.800486105	8.232697179	8.595925098	8.345164102	8.241762885	8.417347014	8.301341924
INTS13	6.646157947	6.509986041	6.655034976	6.607768279	6.688981017	6.586132604	6.779529171	6.574741584	6.466068352	6.983935	7.156111702	6.978449337
INTS14	8.737209513	8.758025149	8.614734592	8.752791956	8.631559319	8.742965546	8.849040818	8.79829574	8.809156358	9.149240522	9.175564745	9.082783231
INTS2	6.667756447	6.790867234	7.031780252	6.89218974	6.715233683	6.936559578	6.692397562	6.912285574	6.964396493	6.773941017	6.81211117	6.672079028
INTS3	10.35294316	10.38603581	10.53072253	10.36275943	10.51011025	10.45054553	8.950229965	9.133573305	9.147404085	8.274437477	8.374828596	8.408490684
INTS4	7.62193923	7.835068073	7.809365633	7.961540891	7.936325183	7.87819098	7.394813008	7.523899637	7.805876916	8.169132391	7.803585768	7.913292808
INTS4P1	4.816421725	5.199507456	5.172772207	4.898659893	4.832911933	4.855956746	4.705091379	5.206758235	5.430617113	5.542584109	5.83407577	4.891818265
INTS5	8.901414178	8.605590798	8.770027883	8.789076304	8.930791621	8.862029826	9.194029012	8.894371113	9.13934292	9.319575636	9.521925432	9.427439556
INTS6	7.135672894	7.192234058	7.379165449	7.255951415	7.137590042	6.921746175	7.115227707	7.315658258	7.097216777	7.156241845	6.936479296	7.168973184
INTS6L	6.328508937	6.283811736	6.622945704	6.352572276	6.442605192	6.381073929	5.838904024	5.903038415	5.63003901	5.850019941	5.964350019	6.092256185
INTS7	7.991851287	7.807950368	8.036282935	7.950869422	7.699441588	7.816369359	7.949934628	8.118690282	8.104928526	8.543019294	8.353087498	8.44250011
INTS8	7.878879621	7.900689995	7.785972528	7.851059511	7.88635069	7.640047542	7.794666409	7.847259471	7.65484544	7.914293228	7.760044784	7.995957439
INTS9	8.384072394	8.339167341	8.373366032	8.309084415	8.32566389	8.519592132	8.425432155	8.173456406	8.42372544	8.346439793	8.410347499	8.367767001
INTU	6.459731492	6.790867234	6.74700939	6.644464165	6.753692327	6.695715543	7.000134249	7.152278962	7.453427929	7.423088717	7.479973658	7.299713822
INVS	7.135672894	6.873003816	7.0869919	7.153268436	6.985842537	7.275073482	6.707309826	6.711243102	6.878156671	6.116712282	6.440496733	6.235864191
IP6K1	8.041125758	7.794195678	8.0753339	8.073953262	7.908777716	7.951883803	8.750754489	8.367031599	8.224355545	8.888399572	9.154808136	8.866318403
IP6K2	10.50786932	10.57584961	10.7575065	10.86943802	11.08665651	10.83668232	10.21845471	9.976341332	10.03008906	9.818185237	9.971990715	9.883724548
IPMK	6.730574567	6.818793148	6.766635633	6.748975086	6.53477842	6.507825623	6.975930104	6.912285574	6.848173897	7.254075243	7.532820484	7.481071188
IPO11	7.024386478	6.937909626	6.931724311	6.965777825	6.827522621	6.891635914	6.951297252	6.985173848	7.001070926	7.488618225	7.590010812	7.581735071
