Symbol	mouse_inviro_colon_Untr_24hr_1	mouse_inviro_colon_Untr_24hr_2	mouse_inviro_colon_Untr_24hr_3	mouse_inviro_colon_Untr_72hr_1	mouse_inviro_colon_Untr_72hr_2	mouse_inviro_colon_Untr_72hr_3	mouse_inviro_colon_X1000_24hr_1	mouse_inviro_colon_X1000_24hr_2	mouse_inviro_colon_X1000_24hr_3	mouse_inviro_colon_X1000_72hr_1	mouse_inviro_colon_X1000_72hr_2	mouse_inviro_colon_X1000_72hr_3
RABGGTA	575.627610492785	670.14039682421	801.021476971726	560.626222419873	540.9463898429	584.049255865754	690.368215146187	480.016289891956	600.251853741298	971.112057052304	865.412010107838	825.461014229258
RABGGTB	205.740449169679	251.509482264889	288.484882931316	134.430799336914	137.563804682802	186.103830682647	864.118604864187	778.476602979759	709.011179937855	203.206267444865	261.739797136862	186.766318861927
RABIF	351.318528726564	354.926210169859	369.758542843439	476.980391721348	580.250334037986	554.351836075969	480.323299575982	673.085572542226	619.347002615503	675.928215921868	740.66793657878	602.955461511036
RABL2A	107.69806905994	133.200745541602	144.974636600002	150.363338517586	172.730491594196	178.184518738704	55.60012470976	37.1968342720704	110.419773924748	130.479813833019	135.881937237009	121.052243706805
RABL3	142.607098341438	165.466764647953	188.174149526265	229.03025072215	233.755036528672	237.579358318273	140.544759683004	152.329892733241	136.156713711719	225.665907530877	218.302128675851	154.485720540113
RABL6	648.416650271228	651.939052712935	648.72488902829	510.837037480275	433.377700466874	438.531898895812	597.70134062992	580.09348686205	621.007450343695	588.228668919347	605.899785712566	642.153330901811
RAC1	7794.36921872424	7577.55048705301	7512.32207836372	18377.1881612056	18341.4958529334	17760.0469482839	5640.32376222343	6381.91399439379	6073.08756586113	22624.3441133088	20522.6276682716	21762.8876614605
RAC2	0.742745303861658	0	0	146.380203722418	122.049089868953	148.48709894892	0	0.885638911239772	9.13246250505433	449.192801720229	442.173189205678	489.973367384685
RAC3	196.084760219478	148.092754359918	201.353661944447	69.7048589154371	72.4020024646329	62.3645815585466	68.7279319328978	59.3378070530647	90.4944011864475	18.1816134029616	21.161941045108	25.3633272528543
RACGAP1	1135.65756960448	1202.11604516738	1196.40684951719	352.507429372353	509.9169602152	282.125488002949	20.85004676616	23.9122506034738	14.9440295537253	317.643481216447	403.190666227847	413.883385626122
RACK1	20527.9947081285	19168.4973506421	20927.6013298043	18045.5921895079	17809.8582919788	20844.6189504494	14449.0824089489	13693.7488455893	15732.7422246163	11973.1271791856	10538.6466404638	11563.3714702786
RAD1	67.5898226514109	83.5607161472163	62.9687815535361	40.8271316504703	89.9853459203295	60.384753572561	145.95032736312	99.1915580588544	116.231340973419	32.0852001228735	84.647764180432	51.879533017202
RAD17	144.835334253023	178.704105819789	150.832197674749	283.798354155708	235.823665170519	296.974197897841	294.989550543449	306.431063288961	237.444025131413	205.34528078639	213.84698319267	220.199795695235
RAD18	198.312996131063	165.466764647953	229.909272183841	96.59101878282	173.764805915119	93.0519153413235	0	2.65691673371931	0	57.7533602211723	52.3479594273724	65.7140751551225
RAD21	3412.91467124432	2561.42551675031	2980.76639191216	4170.34213054072	4364.80643429644	3626.05495633264	1274.16952459867	1319.60197774726	1093.40482901423	2226.71288852742	2189.70400498328	1911.47257205602
RAD23A	947.743007727476	856.290507053157	868.383429331323	594.482868178799	571.9758194706	552.372008089984	204.639347890089	246.207617324657	244.085816044179	596.784722285447	406.532025340233	517.642451660526
RAD23B	1991.30015965311	1452.79819360903	1576.41612424143	1768.51184905452	2082.07472801866	2108.51680507467	1228.60831129484	1708.39745978152	2017.44398975291	2404.25099587399	2498.22282969354	2499.44061291764
RAD50	234.707516020284	158.020760238795	237.231223527275	200.152523457184	189.279520728969	172.245034780748	81.0835152017333	83.2500576565385	52.3041034380385	109.08968041777	82.4201914388417	96.8417949654437
RAD51	307.496555798727	348.307539583941	359.50781096263	53.7723197347658	123.083404189876	76.2233774604458	0	1.77127782247954	25.7369397869713	71.6569469410841	62.3720367645288	49.5737759942152
