Symbol	mouse_invivo_intes_Ctrl_6hr_1	mouse_invivo_intes_Ctrl_6hr_2	mouse_invivo_intes_Ctrl_6d_1	mouse_invivo_intes_Ctrl_6d_2	mouse_invivo_intes_X50_6hr_1	mouse_invivo_intes_X50_6hr_2	mouse_invivo_intes_X50_6hr_3	mouse_invivo_intes_X50_6hr_4	mouse_invivo_intes_X50_6hr_5	mouse_invivo_intes_X50_6d_1	mouse_invivo_intes_X50_6d_2	mouse_invivo_intes_X50_6d_3	mouse_invivo_intes_X50_6d_4	mouse_invivo_intes_X50_6d_5
SCMH1	139.865264721499	169.985812795913	79.2333355734363	92.1789204304365	147.310303908048	92.8819956449512	157.014331025727	134.239105728266	92.6698013135829	431.220860609232	516.937421514642	561.514181471489	397.434007358865	434.386690932026
SCML4	220.649512448571	261.13762545459	260.890251278388	224.916565850265	170.327538893681	163.472312335114	254.256161035978	315.562076898537	200.166770837339	186.815551990319	269.946006972122	173.436974140511	195.76576105053	208.611237590456
SCN1B	3.61720512210772	2.46356250428859	1.93252037983991	3.68715681721746	2.7620681982759	11.8888954425537	1.78425376165598	5.00892185553233	4.63349006567914	8.42776926272114	8.26365327465679	22.9971678418357	3.93499017186995	14.5235671740191
SCN2B	22.3060982529976	39.4170000686174	19.3252037983991	11.0614704516524	24.8586137844831	39.3819661534593	16.0582838549039	20.0356874221293	17.6072622495807	7.02314105226762	15.6091228521295	3.83286130697262	13.7724656015448	29.0471343480382
SCN3A	1.20573504070257	14.7813750257315	7.73008151935964	9.21789204304365	2.7620681982759	1.48611193031922	1.78425376165598	6.01070622663879	1.85339602627166	2.80925642090705	9.18183697184088	2.87464598022947	6.88623280077242	6.60162144273595
SCN3B	1.80860256105386	0	5.79756113951973	9.21789204304365	0.9206893994253	0	0.892126880827992	5.00892185553233	5.56018807881497	9.83239747317467	2.75455109155226	2.87464598022947	3.93499017186995	1.32032428854719
SCNM1	428.638806969765	339.971625591825	469.602452301098	494.07901350714	879.258376451162	728.937901821577	567.392696206603	341.608470547305	424.42769001621	474.062021028064	458.17366489486	415.86545180653	352.181620382361	319.51847782842
SCNN1A	801.210934546861	640.526251115033	593.283756610852	628.660237335577	290.937850218395	363.354366963049	449.631947937308	404.720885927012	474.469382725544	413.663007978563	366.355295176451	347.832163607765	327.587931808174	262.744533420891
SCO1	127.807914314473	128.105250223007	195.184558363831	171.452792000612	184.13787988506	186.507047255062	176.641122403942	183.326539912483	186.266300640302	122.904968414683	107.427492570538	132.233715090555	143.627141273253	133.352753143266
SCO2	400.906901033606	194.621437838798	376.841474068782	401.900093076703	1009.07558177013	952.597747334619	383.614558756037	314.56029252743	359.558829096702	440.35094397718	320.446110317247	348.790378934509	437.767656620532	464.754149568611
SCOC	68.1240297996955	76.3704376329462	108.221141271035	68.212401118523	237.537865051727	149.354248997081	99.9182106527351	72.1284747196655	106.57027151062	101.133231152654	82.6365327465679	107.320116595233	101.325996925651	128.071455989077
SCP2	1508.37453591892	1685.07675293339	2176.01794769974	2044.52845514708	2590.8199699828	2517.47360996076	1351.57222445441	1666.96919352116	2241.68249377557	701.611791121535	740.056059930375	735.909370938743	832.250421350495	831.80430178473
SCPEP1	207.989294521194	221.720625385973	204.84716026303	221.229409033048	201.630978474141	252.639028154267	219.463212683686	256.456799003255	211.287146994969	250.023821460727	300.246068979197	252.968846260193	266.595584144189	348.565612176458
SCRIB	1179.81173732747	574.010063499241	566.228471293094	606.537296432272	1349.73065955749	1223.07011865272	691.398332641694	781.391809463043	780.279727060368	595.562361232294	613.346709718971	567.263473431948	566.638584749273	661.482468562142
SCRN1	6.63154272386416	4.92712500857718	0	16.5922056774786	2.7620681982759	6.68750368643648	10.7055225699359	3.0053531133194	10.1936781444941	9.1300833679479	13.7727554577613	4.79107663371578	1.96749508593498	2.64064857709438
SCRN2	195.329076593817	81.2975626415234	133.343906208954	156.704164731742	303.827501810349	361.12519906757	127.574143958403	118.210555790563	120.470741707658	77.9568656801706	33.9727967958113	47.9107663371578	67.8785804647567	52.8129715418876
SCRN3	25.9233033751054	46.8076875814832	38.6504075967982	33.1844113549571	79.1792883505758	65.3889249340456	36.5772021139477	53.0945716686427	52.8217867487422	33.7110770508846	37.6455315845476	39.2868283964694	45.2523869765045	36.9690800793213
SCRT1	0.602867520351287	0	5.79756113951973	5.53073522582619	0	0.743055965159609	9.81339568910791	5.00892185553233	5.56018807881497	2.80925642090705	3.67273478873635	5.74929196045893	1.96749508593498	2.64064857709438
SCUBE1	48.8322691484543	34.4898750600402	19.3252037983991	36.8715681721746	19.3344773879313	54.2430854566515	19.6267913782158	54.0963560397491	29.6543364203465	124.309596625137	114.772962148011	142.77408368473	114.114714984229	73.9381601586427
SCUBE3	6.02867520351287	7.39068751286577	3.86504075967982	20.279362494696	0.9206893994253	8.91667158191531	2.67638064248398	8.01427496885172	1.85339602627166	21.0694231568029	18.3636739436818	23.9553831685789	20.6586984023173	15.8438914625663
SCYL1	865.717759224449	480.394688336275	415.491881665581	538.324895313749	333.289562591959	627.13923459471	543.305270424247	543.968913510811	599.573614498881	678.435425649052	516.019237817458	610.38316313539	655.175863616347	578.302038383669
SCYL2	399.098298472552	569.082938490664	541.105706355175	534.637738496532	297.382676014372	352.208527485655	500.483180144504	533.951069799746	518.024189342928	506.368469868495	559.17387158511	558.63953549126	709.281978479559	394.77696227561
